0.82728,1,-1.96148,1,1,-1.96115,0.993012,
0.818909,1,-1.96078,1,1,-1.94682,0.978935,
0.8077,1,-1.95933,1,1,-1.93146,0.964306,
0.793221,1,-1.95702,1,1,-1.91451,0.948602,
0.774866,1,-1.95365,1,1,-1.89532,0.931232,
0.751815,1,-1.94892,1,1,-1.87311,0.911506,
0.722989,1,-1.94236,1,1,-1.84692,0.888594,
0.687004,1,-1.9332,1,1,-1.81559,0.86148,
0.642139,1,-1.92015,1,1,-1.77767,0.828949,
0.586392,1,-1.90097,1,1,-1.73154,0.789609,
0.517734,1,-1.87151,1,1,-1.67554,0.742065,
0.434795,1,-1.82336,1,1,-1.60857,0.685366,
0.338348,1,-1.73753,1,1,-1.53119,0.619999,
0.233819,1,-1.56438,1,1,-1.44769,0.54955,
0.134109,1,-1.14751,1,1,-1.36826,0.482582,
0.0597016,1,0.0709754,1,1,-1.30907,0.432707,
0.178281,1,1,0,1,-0.643437,0,
